MatchID,Home,Away,Date,Season,Text
12,Stoke City,Crystal Palace,Fri 4 May 2018 17.12 BST,2017-18,"It is do or die time for Stoke. A fourth successive draw would not be enough: Paul Lambert’s side must win this match if they are to have any chance of going into their final match of the campaign with survival still possible. Crystal Palace, though technically not safe yet, arrive in buoyant mood thanks to last week’s thrashing of Leicester. Paul Doyle"
13,West Brom,Tottenham Hotspur,Fri 4 May 2018 16.33 BST,2017-18,"West Bromwich Albion have to win against Tottenham and if successful they must rely on Swansea losing again to avoid relegation for another week. This feels highly unlikely, despite Darren Moore’s positive influence on the Baggies, as West Brom last beat Tottenham at the Hawthorns in 2008. Maurico Pochettino’s side are yet to secure a place in the Champions League next season and will be hungry to edge even closer to another crack at Europe’s elite with victory. Graham Searles"
14,Watford,Newcastle United,Fri 4 May 2018 16.22 BST,2017-18,"Watford facing Newcastle is certainly not the most tantalising fixture of the weekend but there is still intrigue regarding the future of the respective managers. Javi Gracia has the potential to guide Watford to their best Premier League finish, as they sit level with their previous record in 13th, but their run of seven matches without a win will not have pleased the trigger-happy powers that be. Rafa Benítez has hinted, again, that he is prepared to move on if his masterful season is not rewarded with investment in the squad. Graham Searles"
15,Leicester City,West Ham United,Fri 4 May 2018 16.06 BST,2017-18,"If there was ever a good time for West Ham to be travelling to the King Power Stadium, then this is surely it. Leicester have won only four of their previous 18 league games, they were booed off in the last home match and go into this fixture off the back of a 5-0 defeat at Crystal Palace with a long injury list. It has not exactly been plain-sailing lately for West Ham either but Andy Carroll is set to be involved after patching up his differences with David Moyes. Stuart James"
16,Bournemouth,Swansea City,Fri 4 May 2018 15.53 BST,2017-18,Swansea are in trouble. Carlos Carvalhal’s side are just a point above the relegation zone and crucially their momentum disappeared. Bournemouth should have a chance at turning their own abject streak around as Swansea have scored just two goals and are winless in their past seven games in all competitions. Carvalhal will be counting on fear of the dreaded drop to provide all the motivation his side need to keep their heads above water. Graham Searles
17,Everton,Southampton,Fri 4 May 2018 15.40 BST,2017-18,"Southampton have three games to save their skins and leaving aside Tuesday’s trip to Swansea for a six-pointer, this is the other one in which they really need a return as they host Manchester City on the final day and that may be too tall an order. Last week’s win against Bournemouth was only their second in 10 league games but it gave the fans hope and Mark Hughes will be looking to capitalise on that during the trip to Goodison, where the atmosphere has been eerily quiet of late. Sam Allardyce, like Hughes another merry-go-round perennial to take over in the dugout since Saints defeated Everton 4-1 in October’s reverse fixture, reckons he has won “the hearts and minds” of the Everton majority with their home performances and insists the dissenters are a vocal minority. Some were evident when Everton won their last home game, against Newcastle, with their only shot on target, but many were more so during the 2-0 win at Huddersfield later that week. With Allardyce already talking about his plans for the close season, some may even welcome the chance to clear their throats and get the banners out if Hughes produces the away win Saints crave. Mark Tallentire"
18,Tottenham Hotspur,Watford,Sun 29 Apr 2018 08.59 BST,2017-18,"Tottenham, devastated by their FA Cup semi-final defeat against Manchester United last week, must bounce back to maintain their advantage over Chelsea chasing in fifth place, who on Monday may be two points behind Spurs, by taking all three against out-out-form Watford. Javi Gracia’s side, winless since the beginning of March, are struggling with injuries. Troy Deeney and Roberto Pereyra are both major doubts for the trip to Wembley. Joel Aberg"
19,West Ham United,Manchester City,Sat 28 Apr 2018 09.00 BST,2017-18,"Another victory will move Manchester City one win away from setting a new points record in the Premier League. The champions look determined to keep standards high and they scored nine goals in two visits to the London Stadium last season. They will fancy their chances against West Ham, who are still not safe from relegation after last weekend’s thrashing at Arsenal. David Moyes’s team will require a perfect defensive performance to stand any chance of denying City. Jacob Steinberg"
20,Manchester United,Arsenal,Sat 28 Apr 2018 09.00 BST,2017-18,"Relations between José Mourinho and Arsène Wenger have eased recently yet how Manchester United fans might greet the Arsenal manager, for so long their bete noire, as he walks out at Old Trafford will intrigue, given the Frenchman is leaving the Gunners. On the pitch United will hope to claim another win in the bid for second place: Arsenal, of course, want to prevent that. Jamie Jackson"
21,Burnley,Brighton & Hove Albion,Fri 27 Apr 2018 16.23 BST,2017-18,"Burnley’s dream of playing in the Europa League is still alive despite the fact they have fallen short in consecutive Premier League games. Sean Dyche’s side have suffered just one defeat from their past eight games, and will prove to be a difficult task for a Brighton side who have struggled away from home this season. Chris Hughton’s men are winless since their back-to-back successes against Swansea and Arsenal in early March. Joel Aberg"
22,Newcastle United,West Brom,Fri 27 Apr 2018 16.13 BST,2017-18,"Darren Moore has presided over the collection of five points from three games since assuming caretaker charge of West Brom but he could still see his side’s long inevitable relegation confirmed on Saturday night. Meanwhile Rafa Benítez has announced that talks over his future on Tyneside are under way. Newcastle’s manager has only a year left on his contract and will want assurances as to the summer transfer budget before extending it. “We’ve had conversations and we’ll have more conversations next week,” said Benítez before stressing that a quick resolution would be “better for everybody”. Louise Taylor"
23,Swansea City,Chelsea,Fri 27 Apr 2018 15.57 BST,2017-18,"There is plenty at stake for both clubs as Chelsea pursue the three points that would keep alive hopes of a top-four finish while Swansea chase the victory that would give their survival prospects a huge boost. Swansea have collected 13 points from their past five home games, beating Liverpool and Arsenal in the process, but they have injury problems at the back, with Federico Fernández and Kyle Bartley doubtful. Chelsea, who are looking for a third successive away win in the league, are still without the suspended Marcos Alonso. Stuart James"
24,Crystal Palace,Leicester City,Fri 27 Apr 2018 15.39 BST,2017-18,"Victory against Leicester City would hoist Crystal Palace to 38 points and the verge of top-flight safety. Claude Puel’s side will arrive at Selhurst Park having won only twice in 10 league games stretching back to January, without Kasper Schmeichel, and with the manager’s job beyond this season in doubt. Yet Roy Hodgson is still preaching caution in a bid to ward off any complacency. Palace, much improved, have lost only once to a side outside the top eight since September and must determine whether the time is apt to recall Christian Benteke. Dominic Fifield"
25,Huddersfield,Everton,Fri 27 Apr 2018 15.12 BST,2017-18,"Everton, following their win against in-form Newcastle, travel to Huddersfield and are eyeing a second successive win. David Wagner’s side, six points above the relegation zone, have taken 25 from a maximum 35 points at home this season, in comparison to Everton’s 12 from 45 on the road. Gylfi Sigurdsson is back in light training, but the Everton manager, Sam Allardyce, said the Iceland international is still “a way off” making a first-team return anytime soon. Joel Aberg"
26,Southampton,Bournemouth,Fri 27 Apr 2018 13.38 BST,2017-18,"Southampton’s situation remains dire but there is still a potential escape route open to Mark Hughes’s side. With matches against Everton and relegation rivals Swansea following this, they have the chance to make up ground before the final-day visit of Manchester City. Hughes will be without playmaker Sofiane Boufal – he is training with the youth team after falling out with the manager. Eddie Howe will still be unable to call upon Adam Smith, who is close to a return, as his visiting side look to assert their south-coast supremacy. Niall McVeigh"
27,Liverpool,Stoke City,Fri 27 Apr 2018 13.14 BST,2017-18,"Paul Lambert has overseen three wins at Liverpool in his managerial career, the most recent with Wolves in the FA Cup last season, but now must accomplish what no other Stoke manager in history has done to bring hope to the club’s relegation fight. Stoke have never won a top flight league game at Anfield and Jürgen Klopp’s side are unbeaten at home in the Premier League this season. The Liverpool manager must rotate before next week’s second leg against Roma and the visitors simply have to capitalise with only three matches of their season remaining. Andy Hunter"
28,Everton,Newcastle,Sun 22 Apr 2018 09.00 BST,2017-18,"Rafael Benítez’s in-form Newcastle can leapfrog Everton with a fifth consecutive league victory. The onus will be on Jonjo Shelvey to show the watching Gareth Southgate that he is worth considering, and trusting, for a late inclusion in England’s World Cup squad. For Sam Allardyce, the visit of his former club brings reminders of an unhappy spell at St James’ Park and a massive pay-off. With Evertonians calling for something similar at Swansea last weekend, albeit in harsher terms, he could do with another home win to keep the restless supporters at bay. Andy Hunter"
29,Arsenal,West Ham United,Sat 21 Apr 2018 09.00 BST,2017-18,"Arsène Wenger’s farewell to Arsenal begins against West Ham. A first opportunity for the fans to show just how much he has meant to the club over the past 22 years before the pressure of hosting Atlético Madrid on Thursday. What influence, if any, could the news of Wenger’s departure have on his side? The Emirates faithful will be hoping to be transported back to the glory days but West Ham are not safe yet. Survival instincts may prevail on Sunday. Graham Searles"
30,Chelsea,Southampton,Sat 21 Apr 2018 09.00 BST,2017-18,"Chelsea and Southampton met last weekend in the Premier League and the suspicion lingers that Southampton, a side languishing in the bottom three, who had been dominant in establishing a two-goal lead at St Mary’s, may not recover from their capitulation in the last 20 minutes of that fixture. Chelsea, denied the banned Marcos Alonso but bolstered further by their win at Turf Moor on Thursday, will hope to dominate with the excellent Eden Hazard, Willian and Olivier Giroud at Wembley as they seek a trophy from a season mired in anticlimax. Dominic Fifield"
31,Manchester City,Swansea,Sat 21 Apr 2018 09.00 BST,2017-18,"Manchester City will stride out before their adoring crowd as freshly-crowned champions knowing five wins from the final five matches will take them to 102 points and eclipse Chelsea’s record Premier League tally of 95. Pep Guardiola, though, will look to see how his charges react to their new status so, while Swansea will expect a long afternoon, as they are fighting relegation, Carlos Carvalhal’s side may not be a walkover. Jamie Jackson"
32,Stoke City,Burnley,Sat 21 Apr 2018 08.59 BST,2017-18,"Stoke have left it very late to start a surge for safety, and if it does not begin against Burnley, it will probably not materialise at all. Scoring has been a problem for Stoke all season so they will have taken some encouragement from the fact that Burnley looked uncharacteristically leaky while losing 2-1 to Chelsea on Thursday. Then again, Stoke are no Chelsea. Paul Doyle"
33,Man Utd,Spurs,Fri 20 Apr 2018 15.27 BST,2017-18,This is it for Manchester United and Tottenham Hotspur as José Mourinho and Mauricio Pochettino’s men hope to reach the FA Cup final and claim an all-important trophy. Mourinho would detest failing to earn silverware and Pochettino has never won anything in a nine-year managerial career. Each manager will be intent on reaching May’s Wembley showpiece. Jamie Jackson
34,West Bromwich Albion,Liverpool,Fri 20 Apr 2018 13.32 BST,2017-18,"Can West Brom cause another upset? With Jürgen Klopp surely focused on Roma at Anfield on Tuesday and Champions League football next season all but secured, it is a possibility. However it does feel like rather a large stretch of the imagination for the bumbling Baggies to best Liverpool despite needing to win to maintain their already incredibly slender hopes of staying up. Mohamed Salah alone has scored more league goals this season than Darren Moore’s side. Graham Searles"
35,Watford,Crystal Palace,Fri 20 Apr 2018 11.45 BST,2017-18,"Watford are in danger of being drawn into the relegation battle if they record a fifth defeat from six against Crystal Palace. Roy Hodson’s side will draw level with them, and take a huge step towards safety, if they do. Hodgson should be confident after Palace flourished in attack to beat Brighton last week. Four Watford players may miss out with a stomach virus too. Javi Gracia has not named two of the ill players which suggests he is not feeling confident about his side’s chances. Graham Searles"
36,West Ham United,Stoke City,Sun 15 Apr 2018 09.00 BST,2017-18,"West Ham have responded well after last month’s chaotic defeat against Burnley at the London Stadium, thrashing Southampton and drawing at Chelsea to move three points above the bottom three. They are not out of the woods yet, though. One more win might be enough, but Stoke are also desperate for points and it is bound to be a tense battle on Monday night. Jacob Steinberg"
37,Newcastle United,Arsenal,Sat 14 Apr 2018 09.00 BST,2017-18,The long journey back from Moscow means Arsène Wenger is likely to rest many of his first-choice players for the trip north to Newcastle. Rafa Benítez’s side are aiming to record a fourth successive victory but have failed to pick up a single point against Arsenal since a 0-0 draw in 2011 – a run of 10 matches. Ed Aarons
38,Manchester United,West Bromwich Albion,Sat 14 Apr 2018 09.00 BST,2017-18,"All Manchester United can do is keep winning while praying Manchester City perform a flop of Devon Loch proportions. They should have no problems cuffing aside West Brom, but if Pep Guardiola’s men have already won at Tottenham on Saturday it will be close to immaterial. Still, second place is definitely on for José Mourinho’s men and that would represent a four-place leap from last season. Jamie Jackson"
39,Huddersfield Town,Watford,Fri 13 Apr 2018 18.34 BST,2017-18,"Huddersfield host Watford conscious that anything other than a win leaves them at risk of getting dragged into the relegation dogfight with four games to play. Those final four matches consist of trips to Chelsea and Manchester City, as well as hosting Everton and Arsenal. “It feels like before [last season] in the play-offs,” said David Wagner, the Huddersfield manager. “Everyone wanted to find out where it ends.” Watford have not scored away from home since 2 January but if they can register one in west Yorkshire, they may just put the seal on Premier League survival. Ben Fisher"
40,Swansea City,Everton,Fri 13 Apr 2018 17.28 BST,2017-18,"A huge game for Swansea, who could take a significant step towards survival if they can rack up a fifth successive home win. Jordan Ayew, Swansea’s leading goalscorer, returns from suspension and will go straight back into the team, possibly at the expense of Tammy Abraham. For Everton, Wayne Rooney is expected to start, with Sam Allardyce insisting there is no problem between them after he substituted the forward last weekend, but there will be no Liberty Stadium return for Gylfi Sigurdsson, who remains injured. Stuart James"
41,Tottenham Hotspur,Manchester City,Fri 13 Apr 2018 16.55 BST,2017-18,"Pep Guardiola goes to Wembley looking to avoid a fourth successive defeat for only the second time in his managerial career – if City win and Manchester United lose on Sunday, the league title is theirs. With a top four place almost secured, Tottenham should provide a stiff test having won the corresponding fixture 2-0 last January. Ed Aarons"
42,Southampton,Chelsea,Fri 13 Apr 2018 15.41 BST,2017-18,"In the corresponding fixture last season, Diego Costa sealed a hard-fought win that showed Chelsea’s title credentials to end Southampton’s long unbeaten run at home. That was only 18 months ago. Both teams have unravelled this season and head into a league and cup double-header wondering where another defeat will leave them. Southampton’s plight is more pressing and with five tricky-looking fixtures to follow, Mark Hughes must aim for better than the narrow defeat to Arsenal. He will be without the suspended Jack Stephens but at least has in-form strikers to choose from – Charlie Austin and Shane Long both scored at the Emirates, with Long expected to recover from an ankle problem. Niall McVeigh"
43,Burnley,Leicester City,Fri 13 Apr 2018 15.06 BST,2017-18,"Sean Dyche was briefly linked with the Leicester job when it became vacant early in the season, mainly because of his Midlands connections, and Saturday’s visitors to Turf Moor might consider that a chance missed now that Burnley are likely to end up in Europe. Six points currently separates the two sides, a gap that could easily increase as Burnley enjoy the luxury of good home form and a stress-free run-in. Paul Wilson"
44,Liverpool,Bournemouth,Fri 13 Apr 2018 14.02 BST,2017-18,"The Champions League semi-final dominates Liverpool’s thoughts but Jürgen Klopp wants a top-four finish in the Premier League secured as quickly as possible. Mohamed Salah requires one more league goal to reach 30 for the season, and has scored 11 times in his last six matches at Anfield, but his game-time may be restricted against Bournemouth after he returned from a groin problem to play a starring role in the midweek European defeat of Manchester City. Liverpool need three more goals to record 300 in all competitions under Klopp. Andy Hunter"
45,Crystal Palace,Brighton & Hove Albion,Fri 13 Apr 2018 13.40 BST,2017-18,"Roy Hodgson has a choice to make up front with Christian Benteke and Alexander Sørlorth fit enough to feature, albeit after Andros Townsend and Wilfried Zaha impressed at Bournemouth. This team’s greatest shortcoming this season has been up front where analysis by Gracenote Sports, taking into account the quality and frequency of chances created, suggests they should have plundered 52 goals, rather than their measly 33. Benteke’s projected goal tally was 12. He has two. Brighton, relatively solid all season, will seek to blunt their bitter rivals and hope their hosts depart pining for Glenn Murray. Dominic Fifield"
46,Arsenal,Southampton,Sat 7 Apr 2018 09.00 BST,2017-18,"Arsenal, as usual, have begun performing since pressure has been relieved from their league campaign. Helpfully their 4-1 demolition of CSKA Moscow on Thursday also makes the trip to Russia next week much more appealing than it might have been. Arsène Wenger’s side should be in relaxed mood and able to fire on all cylinders. Southampton’s chances of securing a much-needed win look bleak after failing to score in their past three league matches. Graham Searles"
47,Chelsea,West Ham United,Sat 7 Apr 2018 09.00 BST,2017-18,"Stamford Bridge will bid an emotional farewell to Ray Wilkins before a derby which will test both teams’ resolve. Chelsea suffered a fourth home defeat of the campaign last weekend, rendering their pursuit of the top four forlorn, and they may have surrendered their title by kick-off. These are difficult times for Antonio Conte. West Ham were buoyed by that restorative thrashing of Southampton, but are hardly clear of the relegation scrap just yet as they pursue a first win across the capital since September 2002. Dominic Fifield"
48,Watford,Burnley,Fri 6 Apr 2018 17.10 BST,2017-18,"Burnley are flying in seventh and catching sixth-placed Arsenal, who are more focused on Europa League activities, is still a realistic proposition. Ashley Barnes’ contribution of four goals in four has been a huge part of their recent success and that could well continue because Watford have conceded 10 goals in their past three matches. Javi Gracia will be looking for his side to build on their improved showing last week against Bournemouth with a win that would equal their points tally last season. Graham Searles"
49,Brighton & Hove Albion,Huddersfield Town,Fri 6 Apr 2018 16.40 BST,2017-18,"After appearing virtually safe after beating Arsenal, successive defeats have restored the element of doubt to Brighton. Their run-in looks brutal after this match against Huddersfield, who are three points and three places below them, and anything but a return to their most convincing home form may set nerves jangling again. Chris Hughton has said the pressure is on but he will be aware Huddersfield, who now look in serious trouble and have a similarly tough end to the season, have not scored in their past four games. Nick Ames"
50,Manchester City,Manchester United,Fri 6 Apr 2018 16.22 BST,2017-18,The timing of the 176th derby could not be better as Manchester City have a priceless chance to claim a fifth league title against their fiercest rivals at home. If City pull this off then their players will become legends and those in the Manchester United side will be constantly reminded of their unwanted part in Mancunian history. It should be some match at the Etihad Stadium. Jamie Jackson
51,Leicester City,Newcastle United,Fri 6 Apr 2018 15.56 BST,2017-18,"Newcastle will arrive in confident mood after climbing to 12th in the table on the back of a fine run of form that has seen them lose only twice in the league since the turn of the year. With 35 points on the board, another victory would all but secure their Premier League status. Leicester remain hopeful of finishing the season in seventh, although Claude Puel will have to rejig his midfield after losing Matty James to injury and Wilfred Ndidi to suspension. Stuart James"
52,West Bromwich Albion,Swansea City,Fri 6 Apr 2018 15.23 BST,2017-18,Swansea will be feeling much better about visiting the Hawthorns than their trip to Old Trafford last week. Carlos Carvalhal’s mission to save the club can get back on track against West Bromwich Albion who are now 11 points adrift with six games to play. However who knows what change Alan Pardew’s exit could bring. The relief for the players of a manager’s tactics that were failing absolutely could be enough to inspire an unlikely victory despite survival hopes approaching the academic stage. Graham Searles
53,Everton,Liverpool,Fri 6 Apr 2018 14.47 BST,2017-18,Sam Allardyce has blamed a small minority on Twitter and Instagram for the negative reaction towards his reign as Everton manager but dissent may be widespread and within ear-shot at Goodison Park should his team repeat their feeble effort against Manchester City in the 231st Merseyside derby. Everton are enduring the worst run in their history against Liverpool – 16 derbies without a win – and while confidence and form is soaring on the other side of Stanley Park Jürgen Klopp must ring the changes before next week’s Champions League rematch at the Etihad Stadium. Andy Hunter
54,Stoke City,Tottenham Hotspur,Fri 6 Apr 2018 13.47 BST,2017-18,"Stoke have six matches in which to save themselves from relegation and the portents are inauspicious.Paul Lambert has had a host of problems to address before the visit of Tottenham, including Saido Berahino’s time-keeping, Ibrahim Afellay’s attitude and an interview in which Xherdan Shaqiri was quoted bemoaning the lack of quality at Stoke. That is hardly the ideal preparation for Spurs, who have beaten Stoke by four goals in their past four meetings. Lambert has introduced a little more solidity since replacing Mark Hughes but they still do not look capable of a clean sheet. Paul Doyle"
55,Bournemouth,Crystal Palace,Fri 6 Apr 2018 13.32 BST,2017-18,Crystal Palace need to move on from their unlucky defeat against Liverpool last time out despite the mental struggle of winning only once in their past nine matches. Roy Hodgson’s side may have received a blessing in disguise though through Christian Benteke’s lack of fitness. The Belgian striker has scored only two goals this season. Someone else having a chance to be the focal point of Palace’s attack could be the difference between survival and relegation. Bournemouth look safe but Eddie Howe remains focused on not letting up until his side’s Premier League status is confirmed. Graham Searles
56,Chelsea,Tottenham Hotspur,Sat 31 Mar 2018 09.00 BST,2017-18,"Chelsea have won only three of nine league games this year, with Antonio Conte having acknowledged Tottenham must be beaten if they are to reach the top four. They will fret over whether Thibaut Courtois and Andreas Christensen will be involved, while taking comfort in the knowledge Spurs, who have suffered one domestic defeat since November, have not won at Stamford Bridge since February 1990 and could be without Harry Kane. This has the makings of a tense occasion. Dominic Fifield"
57,Arsenal,Stoke City,Sat 31 Mar 2018 09.00 BST,2017-18,"This is a bigger game for Stoke than Arsenal, with the home team having one eye on Thursday’s Europa League tie against CSKA Moscow. Stoke are winless in seven and have scored only four goals during that sequence; the lack of cutting edge – together with individual errors – has undermined some fighting football. The run-in feels unkind, although they do have West Ham, Crystal Palace and Swansea to come. Anything from this would be a huge bonus. David Hytner"
58,Newcastle United,Huddersfield Town,Fri 30 Mar 2018 15.43 BST,2017-18,"The lesser spotted Islam Slimani is set to make his Newcastle debut at some point during this relegation battle featuring two of last season’s promoted sides. Algeria’s Slimani arrived on Tyneside for a £2m loan deal by private jet from Leicester in January but has been sidelined by a thigh injury. Expect Rafael Benítez to start him on the bench. Newcastle have enjoyed a break in Alicante and, by way of return, their manager has asked for an “early goal” and a “high-tempo start”. Louise Taylor"
59,Everton,Manchester City,Fri 30 Mar 2018 15.28 BST,2017-18,"Everton are the only current Premier League team Pep Guardiola has not beaten as the Manchester City manager and there cannot be greater incentive to complete the set than the prize on the horizon that would follow a victory at Goodison Park. Three points will offer City the priceless opportunity of winning the Premier League title at home to Manchester United next weekend. It is an opportunity not to be wasted, although Wednesday’s Champions League quarter-final at Liverpool may influence Guardiola’s selection. Sam Allardyce’s side are unbeaten at home since New Year’s Day. Andy Hunter"
60,Brighton & Hove Albion,Leicester City,Fri 30 Mar 2018 15.20 BST,2017-18,"Both sides can, to all intents and purposes, just go out and play although Leicester could conceivably wonder whether a kind-looking run of games can heave them into faint contention for sixth place. Chris Hughton does not quite see Brighton’s position that way and hopes their next two games against Huddersfield and Crystal Palace banish any lingering relegation concerns. The omens look good: they have won their past four home matches in all competitions and pack a far greater punch in attack than earlier in the season. Nick Ames"
61,West Bromwich Albion,Burnley,Fri 30 Mar 2018 14.55 BST,2017-18,"Burnley are one of only three sides to lose to West Brom in the league this season, a 1-0 win in August giving the visitors an improbable six points from six at that stage. Much has changed since and Burnley have a club-record 43 Premier League points while West Brom are 10 adrift of safety and all but relegated. “I kind of feel I owe this club,” said Alan Pardew, who has only one league win to his name since arriving at the Hawthorns in late November. “The results since I’ve been here should have been better and I’d like to come back next season with a squad that better reflects the way I play, with a bit more attacking prowess.” Burnley have won their last two games – Everton and West Ham – and with only 14 away goals conceded will be disappointed if they do not make it three in a row. Mark Tallentire"
62,West Ham United,Southampton,Fri 30 Mar 2018 14.46 BST,2017-18,"West Ham will be praying there is no repeat of the scenes that marred their 3-0 defeat against Burnley at the London Stadium three weeks ago. They have not played since then and extra security measures will be in place for the visit of Southampton, who will push 17th-placed West Ham into the bottom three if they win. Mark Hughes has said he wants to use the crowd against the home team. Jacob Steinberg"
63,Manchester United,Swansea City,Fri 30 Mar 2018 14.15 BST,2017-18,"Manchester United’s race – for second place and respectability – resumes with the visit of Swansea managed by Carlos Carvalhal, who has inspired his side to build a three-point gap above the relegation zone. Next up for United is Manchester City when Pep Guardiola’s side could claim the title at the Etihad. To have any chance of avoiding that prospect Swansea must be beaten, so José Mourinho will not be short of motivation. Jamie Jackson"
64,Watford,Bournemouth,Fri 30 Mar 2018 12.38 BST,2017-18,"Watford may have just about recovered from being ripped apart by Mohamed Salah before the international break. Javi Gracia will demand a response against Bournemouth, after conceding eight and failing to score in their past two matches on the road, but equally should have confidence in his side’s ability to bounce back based on their strong home record this season. Richarlison’s lack of form is a concern though. The Brazilian scored his first goal for Watford against Eddie Howe’s side in August but has failed to find the net since November. Graham Searles"
